Species,GrowthForm,p0,tlp,rwc.tlp,epsil,Cft,wd,sla,MAP,MAT,Reference,Biome,Long,Lat,Organ,Note
irvingia malayana,Tree,-1.69,-1.83,NA,38.38,NA,0.883333333,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
mallotus penangensis,Tree,-1.02,-1.15,NA,27.57,NA,0.59,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
millettia atropurpurea,Tree,-1.01,-1.12,NA,19.59,NA,0.61,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
palaquium sumatranum,Tree,-1.66,-1.88,NA,24.88,NA,0.52,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
parashorea densiflora,Tree,-1.7,-1.83,NA,37.03,NA,0.67,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
quercus semiserrata,Tree,-1.18,-1.42,NA,34.05,NA,0.712333333,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
shorea guiso,Tree,-1.21,-1.38,NA,32.43,NA,0.705,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
shorea macroptera,Tree,-0.78,-0.93,NA,25.14,NA,0.425,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
shorea parvifolia,Tree,-0.99,-1.1,NA,17.57,NA,0.405,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
vatica odorata,Tree,-1,-1.27,NA,20.27,NA,0.79,NA,2700,26.9,Baltzer et al. 2008,Tropical rainforest,99.78333333,7.56666667,Leaf,
xanthophyllum affine,Tree,-1.59,-1.8,NA,26.76,NA,0.613333333,NA,1950,26.4,Baltzer et al. 2008,Tropical rainforest,102.3,2.96666667,Leaf,
barringtonia pendula,Tree,-0.79988148,-1.246333333,NA,NA,NA,0.52,NA,1608,20.8,Bartlett unpublished data,Tropical seasonal forest,101.574,21.6117,Leaf,
quercus oleoides,Tree,-2.616782742,-3.12,NA,23.8,NA,0.86,5.555555556,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
rhedera trinervis,Tree,-1.130940445,-1.37056928,NA,19,NA,NA,5.882352941,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
simarouba glauca,Tree,-1.843893324,-2.21,NA,10.8,NA,0.414188909,6.25,1528,25.6,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
bursera simaruba,Tree,-1.14744352,-1.39,NA,NA,NA,0.305,14.7893413,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
calycophyllum candidissimum,Tree,-1.071003907,-1.3,NA,NA,NA,0.696666667,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
enterolobium cyclocarpum,Tree,-1.512655003,-1.82,NA,NA,NA,0.39,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
hymenaea courbaril,Tree,-1.813322953,-2.174006445,NA,NA,NA,0.792334,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
sweitenia macrophylla,Tree,-1.792933582,-2.15,NA,NA,NA,NA,NA,1528,25.6,Brodribb etal. 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
gliricidia sepium,Tree,-1.325802616,-1.6,93,NA,NA,0.6175,NA,1528,25.6,Brodribb&Holbrook 2003,Tropical seasonal forest,-85.56666667,10.86666667,Leaf,
ventilago calyculata,Liana,-1.1,-1.28,NA,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Juvenile stage
ventilago calyculata,Liana,-1.71,-1.94,NA,NA,NA,NA,17.05,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Mature stage
ziziphus attopensis,Liana,-0.68,-0.78,NA,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Juvenile stage
ziziphus attopensis,Liana,-1.04,-1.34,NA,NA,NA,NA,27.03,1500,22.9,Chen et al. 2014,Tropical rainforest,101.4166667,24.68333333,Leaf,Mature stage
michelia hypolampra,Tree,-1.06,-1.4,NA,11,NA,NA,NA,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Leaf,
mucuna interrupta,Liana,-0.99,-1.17,NA,7.42,NA,NA,NA,1560,21.7,Chen et al. 2017,Tropical rainforest,101.7666667,21.9,Leaf,
celastrus paniculatus,Liana,-1.28,-1.57,NA,14.48,NA,0.46,11.43,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
celtis tetrandra,Tree,-1.96,-2.23,NA,16.53,NA,0.53,11.04,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
ficus concinna,Tree,-1.63,-2.06,NA,25.81,NA,0.51,13.29,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
harpullia cupanioides,Tree,-2.04,-2.37,NA,16.67,NA,0.44,12.5,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
marsdenia sinensis,Liana,-0.97,-1.49,NA,10.91,NA,0.36,13.2,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
streblus asper,Tree,-1.78,-2.26,NA,15.11,NA,0.55,12.08,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
ventilago calyculata,Liana,-2.02,-2.34,NA,21.61,NA,0.48,12.86,1560,21.7,Chen et al. 2017 + unpublished data,Tropical rainforest,101.7666667,21.9,Leaf,
cordia alliodora,Tree,-1.76,-1.97,91.3,13.05,NA,0.520307692,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
cordia alliodora,Tree,-1.93,-2.16,89,12.84,NA,0.520307692,NA,1460,26.5,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Leaf,
cordia alliodora,Tree,-1.71,-1.89,92,14.16,NA,0.520307692,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
cordia alliodora,Tree,-1.64,-1.86,93,12.16,NA,0.520307692,NA,4200,26.1,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Leaf,
cordia collococca,Tree,-1.8,-2.09,86,9.01,NA,0.42,NA,1460,26.5,Choat et al. 2007,Tropical seasonal forest,-85.35,10.35,Leaf,
cordia cymosa,Tree,-1.34,-1.5,93,11.13,NA,NA,NA,4200,26.1,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Leaf,
cordia dentata,Tree,-1.88,-2.14,89,11.86,NA,0.5,NA,1460,26.5,Choat et al. 2007,Tropical rainforest,-85.35,10.35,Leaf,
cordia lasiocalyx,Tree,-1.48,-1.63,91,11.96,NA,0.397,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
cordia lucidula,Tree,-1.29,-1.4,92,10.46,NA,NA,NA,4200,26.1,Choat et al. 2007,Tropical rainforest,-84,10.41666667,Leaf,
cordia panamensis,Tree,-1.79,-2,90,12.46,NA,NA,NA,2600,26.5,Choat et al. 2007,Tropical rainforest,-79.85,9.15,Leaf,
forchhammeria pallida,Tree,-2.51,-2.83,NA,NA,NA,0.84,NA,782,26.4,Fanjul & Barradas 1987,Tropical seasonal forest,-105.05,19.5,Leaf,
randia armata,Tree,-1.68,-1.96,NA,NA,NA,0.668,NA,782,26.4,Fanjul & Barradas 1987,Tropical seasonal forest,-105.05,19.5,Leaf,
thouinidium decandrum,Tree,-2.3,-3.48,NA,NA,NA,0.67,NA,782,26.4,Fanjul & Barradas 1987,Tropical seasonal forest,-105.05,19.5,Leaf,
trichilia trifolia,Tree,-1.59,-1.98,NA,NA,NA,0.8,NA,782,26.4,Fanjul & Barradas 1987,Tropical seasonal forest,-105.05,19.5,Leaf,
austrobaileya scandens,Liana,NA,-1.3,NA,NA,NA,NA,NA,1490,16.2,Feild et al. 2009,Tropical rainforest,-83.59333333,35.12611111,Leaf,
illicium floridanum,Tree,NA,-1.1,NA,NA,NA,0.575,11.77578898,1490,16.2,Feild et al. 2009 + Feild & Isnard 2013,Tropical rainforest,-83.59333333,35.12611111,Leaf,
schisandra glabra,Liana,NA,-0.85,NA,NA,NA,0.329,22.88,1490,16.2,Feild et al. 2009 + Feild & Isnard 2013,Tropical rainforest,-83.59333333,35.12611111,Leaf,
bauhinia variegata,Tree,-1.22,-1.29,NA,NA,NA,0.653,13.18256739,1709,19.3,Fu et al. 2012,Tropical seasonal forest,101.7666667,21.9,Leaf,
celtis philippensis,Tree,-2.39,-2.62,NA,NA,NA,0.703,NA,1709,19.3,Fu et al. 2012,Tropical seasonal forest,101.7666667,21.9,Leaf,
cleistanthus sumatranus,Tree,-1.57,-1.72,NA,NA,NA,0.64,NA,1709,19.3,Fu et al. 2012,Tropical seasonal forest,101.7666667,21.9,Leaf,
aegiphila lhotzkiana,Tree,NA,NA,NA,NA,0.22,0.49,10.46025105,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
aegiphila sellowiana,Tree,NA,NA,NA,NA,0.39,0.41,12.78772379,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
hymenaea martiana,Tree,NA,NA,NA,NA,0.036469112,0.56,9.652509653,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
hymenaea martiana,Tree,-2.03,-2.32,NA,NA,NA,0.825,9.652509653,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
hymenaea stignocarpa,Tree,NA,NA,NA,NA,0.061971074,0.72,6.887052342,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
miconia cuspidata,Tree,NA,NA,NA,NA,0.067360248,0.74,10.35196687,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
miconia pohliana,Tree,NA,NA,NA,NA,0.074970684,0.53,5.42888165,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
myrsine ferruginea,Tree,NA,NA,NA,NA,0.101475259,0.62,11.50747986,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
myrsine guianensis,Tree,NA,NA,NA,NA,0.09,0.52,5.151983514,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
styrax ferrugineus,Tree,NA,NA,NA,NA,0.057424191,0.49,5.678591709,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
styrax pohlii,Tree,NA,NA,NA,NA,0.065297872,0.54,8.183306056,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
symplocos lanceolata,Tree,NA,NA,NA,NA,0.058264463,0.38,6.887052342,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
symplocos mosenii,Tree,NA,NA,NA,NA,0.060883645,0.48,8.136696501,1500,20,Hao et al. 2008,Tropical seasonal forest,-47.88333333,-15.93333333,Leaf,
ficus auriculata,Tree,NA,-0.86,NA,NA,NA,0.468,14.83679525,1500,22.7,Hao et al. 2010,Tropical rainforest,105.25,21.93333333,Leaf,
ficus hispida,Tree,NA,-1.23,NA,NA,NA,0.3815,10.68376068,1500,22.7,Hao et al. 2010,Tropical rainforest,105.25,21.93333333,Leaf,
ficus racemosa,Tree,NA,-1.44,NA,NA,NA,0.3626,19.92031873,1500,22.7,Hao et al. 2010,Tropical rainforest,105.25,21.93333333,Leaf,
anacardium excelsum,Tree,-0.926617972,-1.13,NA,NA,NA,0.43,10.83926914,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Leaf,
prionostemma aspera,Liana,-1.724987,-2.07,NA,NA,NA,0.58,NA,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Leaf,
trichostigma octandrum,Liana,-1.232376,-1.49,NA,NA,NA,0.49,NA,1800,27,Johnson et al. 2013,Tropical rainforest,-79.54694444,8.98561944,Leaf,
crossopteryx febrifuga,Tree,-1.44,-1.73,87,11.48,NA,0.702,NA,1200,26.8,Le Roux & Bariac 1998,Tropical seasonal forest,-5.033333333,6.216666667,Leaf,
ochroma pyramidale,Tree,-1.37,-1.6,NA,25.74,NA,0.157516429,NA,2600,26.5,Machado & Tyree 1994,Tropical seasonal forest,-79.85,9.15,Leaf,
pseudobombax septenatum,Tree,-0.91,-1.28,NA,12.8,NA,0.211666667,7.762471166,2600,26.5,Machado & Tyree 1994,Tropical seasonal forest,-79.85,9.15,Leaf,
abarema jupunba,Tree,-1.159166667,-1.595426667,NA,NA,NA,0.585142857,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
apeiba glabra,Tree,-1.666666667,-2.017666667,NA,NA,NA,0.32,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
aspidosperma excelsum,Tree,-1.710833333,-1.743106667,NA,NA,NA,0.792,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-1.919166667,-2.1286,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-1.585833333,-1.96012,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-1.5975,-2.306093333,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-1.745,-2.227746667,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-2.013333333,-1.6086,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-2.136666667,-2.24924,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
bocoa prouacensis,Tree,-1.945,-2.08284,NA,NA,NA,1.053666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
brosimum rubescens,Tree,-1.981666667,-2.279746667,NA,NA,NA,0.825142857,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
carapa procera,Tree,-1.338333333,-1.744493333,NA,NA,NA,0.5638125,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
carapa procera,Tree,-1.675,-2.0246,NA,NA,NA,0.5638125,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
carapa procera,Tree,-1.591666667,-2.04124,NA,NA,NA,0.5638125,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
carapa procera,Tree,-1.695,-1.8686,NA,NA,NA,0.5638125,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
carapa procera,Tree,-1.684166667,-1.955266667,NA,NA,NA,0.5638125,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
caryocar glabrum,Tree,-1.525,-1.879693333,NA,NA,NA,0.653571429,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
cassipourea guianensis,Tree,-1.4875,-2.054413333,NA,NA,NA,0.82,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
chrysophyllum sanguinolentum,Tree,-0.98125,-1.4474,NA,NA,NA,0.6714,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
conceveiba guianensis,Tree,-1.28,-1.69596,NA,NA,NA,0.54325,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
cordia sagotii,Tree,-1.585,-1.94972,NA,NA,NA,0.409,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
cordia sagotii,Tree,-1.4875,-1.8686,NA,NA,NA,0.409,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
couepia bracteosa,Tree,-2.055,-2.25548,NA,NA,NA,0.77,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
couepia caryophylloides,Tree,-1.9525,-1.86756,NA,NA,NA,0.77,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
couratari oblongifolia,Tree,-1.611666667,-1.971906667,NA,NA,NA,0.505,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
couratari oblongifolia,Tree,-1.346666667,-1.751426667,NA,NA,NA,0.505,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
cupania scrobiculata,Tree,-1.8075,-2.13484,NA,NA,NA,0.628,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
dicorynia guianensis,Tree,-2.059166667,-1.511533333,NA,NA,NA,0.5912,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
dicorynia guianensis,Tree,-0.99375,-1.58468,NA,NA,NA,0.5912,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
dicorynia guianensis,Tree,-1.238333333,-2.344226667,NA,NA,NA,0.5912,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
dicorynia guianensis,Tree,-1.175,-1.661293333,NA,NA,NA,0.5912,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
dicorynia guianensis,Tree,-1.8,-1.4578,NA,NA,NA,0.5912,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
diospyros carbonaria,Tree,-1.8375,-1.808973333,NA,NA,NA,0.73,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
diospyros carbonaria,Tree,-1.415833333,-1.60236,NA,NA,NA,0.73,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
drypetes variabilis,Tree,-2.0225,-2.31372,NA,NA,NA,0.736666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
drypetes variabilis,Tree,-1.561666667,-1.930306667,NA,NA,NA,0.736666667,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.14625,-2.11196,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.78,-1.9102,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.705,-2.256866667,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.683333333,-1.987853333,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.058333333,-1.994093333,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
eperua grandiflora,Tree,-1.638333333,-2.031533333,NA,NA,NA,0.704,NA,3000,25.1,Marechaux et al. 2015,Tropical rainforest,-52.66666667,4.08333333,Leaf,
