Id,psi,PLC
12,-0.9876745,53.026733
12,-0.98808295,44.64832
12,-0.7757269,71.664055
12,-0.7758982,68.15053
12,-0.77659655,53.82614
12,-0.7771368,42.74501
12,-0.77745306,36.258495
12,-0.7779274,26.528723
12,-0.59897435,34.35694
12,-0.47678655,43.269318
12,-0.47703692,38.134163
12,-0.4773268,32.18819
12,-0.47810423,16.242174
12,-0.30833533,2.1788442
12,-0.19472562,1.6321588
12,-0.20252624,8.119113
12,-0.20242083,10.281284
12,-0.20207824,17.308342
12,-0.20185423,21.902956
13,-2.011324,100
13,-2.003326,98.21838
13,-2.0034187,96.326454
13,-2.0038946,86.59656
13,-1.4911455,97.92042
13,-1.4912117,96.569046
13,-1.491238,96.028496
13,-1.4917271,86.02832
13,-1.1741922,95.4708
13,-1.1743904,91.41668
13,-1.1751175,76.55155
13,-1.1754744,69.25413
13,-0.9465637,95.188225
13,-0.9716016,81.94607
13,-0.98170143,41.67553
13,-0.8018883,61.125664
13,-0.7857472,58.692307
13,-0.78667253,39.773056
13,-0.78742605,24.36738
13,-0.78762436,20.313255
13,-0.55851525,50.30148
13,-0.4605712,58.13418
13,-0.257941,45.420265
13,-0.4698249,35.161243
13,-0.59219885,26.519033
13,-0.47903898,12.99913
13,-0.40619895,6.238299
13,-0.15387626,12.170726
13,-0.17839862,9.469295
14,-4.017857,87.83784
14,-4.017857,80.54054
14,-3.4983766,89.189186
14,-3.0113637,85.945946
14,-3.0113637,75.675674
14,-2.5324676,87.83784
14,-1.9805195,83.78378
14,-2.0292208,79.72973
14,-2.0292208,69.45946
14,-1.8344156,85.13513
14,-1.4853896,82.97298
14,-1.4935066,80.54054
14,-1.4935066,75.945946
14,-1.5097402,49.72973
14,-1.1931819,83.78378
14,-1.1931819,76.21622
14,-1.1931819,74.054054
14,-0.98214287,70.54054
14,-0.98214287,52.7027
14,-0.98214287,49.45946
14,-0.98214287,46.48649
14,-0.77922076,55.135136
14,-0.78733766,18.64865
14,-0.6980519,35.405407
14,-0.49512988,59.18919
